AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_5_9,AGE_65_74,AGE_75_84,AGE_85_UP,AGE_UNDER5,AMERI_ES,ASIAN,AVE_FAM_SZ,AVE_HH_SZ,BLACK,CAPITAL,CLASS,FAMILIES,FEMALES,FHH_CHILD,FID,HAWN_PI,HISPANIC,HOUSEHOLDS,HSEHLD_1_F,HSEHLD_1_M,HSE_UNITS,MALES,MARHH_CHD,MARHH_NO_C,MED_AGE,MED_AGE_F,MED_AGE_M,MHH_CHILD,MULT_RACE,NAME,OBJECTID,OTHER,OWNER_OCC,PLACEFIPS,POP2010,POPULATION,POP_CLASS,RENTER_OCC,SHAPE,ST,STFIPS,VACANT,WHITE
1526,1445,1265,2383,1812,1447,973,1686,640,412,267,2002,149,113,4.02,3.6,48, ,city,3428,7915,766,1521,5,13043,4332,495,386,4556,7943,1451,698,25.0,26.3,23.8,266,366,Sunnyside,720,8297,2271,5368750,15858,16053,6,2061,"{'x': -13358949.834592056, 'y': 5830912.4305584775, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",WA,53,224,6880
603,609,516,1417,1274,1289,1237,590,664,529,400,662,66,445,3.05,2.49,219, ,Census Designated Place,2526,5020,218,1530,71,628,3918,813,556,4135,4770,815,1151,38.9,40.7,37.2,132,401,Walnut Grove,729,235,2558,5376055,9790,10912,6,1360,"{'x': -13648509.297397982, 'y': 5728667.0140621215, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",WA,53,217,8353
674,616,630,1355,1098,1301,1309,796,1119,509,116,952,364,56,3.03,2.64,436, ,Census Designated Place,2858,5333,372,1545,22,3583,3970,483,601,5064,5142,738,1340,36.8,37.0,36.7,187,476,Arizona City,744,1406,2776,0403530,10475,10992,6,1194,"{'x': -12431134.361078294, 'y': 3862249.396644993, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,1094,7715
957,962,758,1671,1360,1490,1187,1067,699,394,120,1160,670,115,3.48,3.0,928, ,city,2819,6079,481,1554,13,4962,3947,574,526,4796,5746,961,883,31.1,32.0,30.1,224,586,Coolidge,753,2095,2627,0415500,11825,12491,6,1320,"{'x': -12415292.789247591, 'y': 3889926.8773019128, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,849,7418
611,637,607,1182,1093,1363,1512,594,1418,944,558,746,199,106,2.89,2.14,88, ,city,2703,6088,411,1555,10,2573,5179,1527,921,5866,5177,591,1270,46.3,49.1,42.9,143,315,Cottonwood,754,1134,2578,0416410,11265,11153,6,2601,"{'x': -12470820.71010323, 'y': 4128330.559937693, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,687,9413
298,304,186,435,711,1371,2377,293,2631,1127,172,254,41,85,2.36,2.08,100, ,Census Designated Place,3592,5273,110,1566,12,560,4888,751,539,6874,4886,409,2884,60.8,60.3,61.4,58,166,Gold Canyon,765,143,4358,0428120,10159,10690,6,530,"{'x': -12405102.9693015, 'y': 3944717.108820981, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,1986,9612
123,126,136,260,332,886,3936,91,7477,5747,2179,98,66,149,2.08,1.67,92, ,Census Designated Place,7263,11837,70,1568,9,1049,12741,3690,1788,17322,9554,139,6663,71.3,70.7,72.0,24,147,Green Valley,767,218,10786,0429710,21391,22095,6,1955,"{'x': -12358375.474242635, 'y': 3742807.915634264, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,4581,20710
141,115,73,243,255,507,2220,124,3817,1692,278,149,23,84,2.18,1.96,76, ,Census Designated Place,3812,5024,43,1585,1,468,4907,706,387,5671,4590,172,3497,67.4,66.3,68.7,21,88,Saddlebrooke,784,131,4737,0461940,9614,10374,6,170,"{'x': -12340670.159325734, 'y': 3834208.5787700266, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,764,9211
736,709,538,1167,1078,1446,1537,667,1270,607,182,723,438,84,2.94,2.42,47, ,city,2912,5487,348,1590,16,1360,4368,777,662,7722,5173,778,1448,42.5,44.2,40.9,121,287,Show Low,789,447,2846,0466470,10660,11070,6,1522,"{'x': -12252271.553286392, 'y': 4060624.553652593, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,3354,9341
78,113,189,446,581,1489,6322,90,11305,11182,5592,112,89,244,2.11,1.59,528, ,Census Designated Place,11383,21854,66,1593,10,1034,23167,8423,3358,28169,15645,102,9877,73.4,73.4,73.3,27,232,Sun City,792,219,19351,0470320,37499,37587,6,3816,"{'x': -12499157.741933823, 'y': 3977427.0741543546, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,5002,36177
10,27,20,89,165,543,3140,12,7617,9261,3638,13,37,147,2.05,1.64,198, ,Census Designated Place,8550,13812,10,1594,14,300,14873,4507,1816,18218,10723,19,8088,75.7,75.2,76.2,2,115,Sun City West,793,38,13402,0470355,24535,24716,6,1471,"{'x': -12507597.512951886, 'y': 3984493.2880435754, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,3345,23986
16,28,36,92,160,617,2825,10,5074,3876,1235,6,28,118,2.07,1.7,170, ,Census Designated Place,5091,7832,4,1595,3,249,8218,2281,846,10028,6143,20,4778,71.3,70.6,72.1,1,66,Sun Lakes,794,32,7557,0470530,13975,14260,6,661,"{'x': -12453953.569169689, 'y': 3924276.678761634, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",AZ,04,1810,13558
703,552,600,1753,1781,1471,1222,756,514,108,10,796,28,89,3.2,2.82,55, ,Census Designated Place,2465,4944,219,1622,3,3219,3642,519,640,5260,5322,1040,992,34.8,35.0,34.7,84,127,Edwards,822,1084,2694,0823300,10266,10465,6,948,"{'x': -11868691.966707578, 'y': 4811092.719153067, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CO,08,1618,8880
724,739,989,1955,1438,1356,1035,942,729,425,124,1011,187,525,3.25,2.58,144, ,city,2756,5796,456,1626,10,5459,4436,835,825,4876,5671,937,777,31.4,32.9,30.1,179,386,Federal Heights,826,2041,2308,0826270,11467,12663,6,2128,"{'x': -11689751.455462066, 'y': 4845321.711853766, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CO,08,440,8174
863,654,360,1546,1875,1294,953,1037,394,105,30,1036,80,147,3.38,3.08,73, ,town,2714,5097,198,1627,3,1642,3294,259,307,3499,5050,1359,966,32.7,32.5,32.8,93,301,Firestone,827,630,2859,0826600,10147,11536,6,435,"{'x': -11681375.126534997, 'y': 4887355.141469039, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CO,08,205,8913
695,1253,4184,3370,1081,164,42,1193,3,1,1,1826,128,302,3.59,3.47,1590, ,Census Designated Place,2319,4846,421,1628,140,2124,2449,88,40,2629,8967,1535,319,22.3,22.1,22.4,39,804,Fort Carson,828,568,15,0827370,13813,14637,6,2434,"{'x': -11664450.93770201, 'y': 4684536.589441719, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CO,08,180,10281
877,839,824,1615,1333,1392,1007,958,703,509,242,1016,102,84,3.39,2.78,686, ,city,2707,5692,387,1630,23,4897,4000,697,582,4279,5623,1012,930,31.9,32.9,31.0,163,298,Fort Morgan,830,2165,2428,0827810,11315,11261,6,1572,"{'x': -11555313.941000354, 'y': 4901394.806211032, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CO,08,279,7957
830,586,389,1506,1690,1210,964,925,614,181,61,931,62,77,3.25,2.95,41, ,town,2738,4865,167,1638,4,1659,3356,298,314,3554,5022,1240,1100,33.7,33.8,33.6,117,245,Johnstown,838,619,2817,0839855,9887,13098,6,539,"{'x': -11685330.765009392, 'y': 4916344.630685059, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",CO,08,198,8839
870,866,742,1388,1307,1279,896,940,473,307,169,993,120,102,3.7,3.17,678, ,city,2320,4946,315,1666,36,6183,3180,424,424,3403,5284,960,753,29.5,30.4,28.8,145,336,Lexington,866,3039,1991,3126910,10230,10192,6,1189,"{'x': -11103694.871869579, 'y': 4979648.866221277, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",NE,31,223,5919
722,696,723,1316,1281,1343,1195,763,720,471,156,838,345,116,3.09,2.53,54, ,city,2636,5321,504,1676,5,8910,3987,715,631,4432,4903,704,804,35.4,36.6,34.1,220,218,Espanola,876,2547,2655,3525170,10224,10435,6,1332,"{'x': -11807349.930482496, 'y': 4301172.021195106, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",NM,35,445,6939
872,903,742,1731,1346,1182,975,980,615,418,153,1092,163,44,3.46,2.99,261, ,city,2719,5502,393,1684,4,7076,3572,435,407,3956,5507,1091,860,29.9,30.7,29.3,175,290,Lovington,884,2879,2541,3544490,11009,11994,6,1031,"{'x': -11504916.582077114, 'y': 3888064.102395161, 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",NM,35,384,7368
